Region,Original_Region,Region_Name,Region_Type,Seed,Percolation_Threshold,Percolation_Type
MB,MB,Mushroom Body,Original,N/A,0.013443113809530297,Node
FB,FB,Fan-shaped Body,Original,N/A,0.005528551647510491,Node
EB,EB,Ellipsoid Body,Original,N/A,0.005816827701630643,Node
MB_cm_42,MB,Mushroom Body,Unscaled CM,42,0.014519352339002407,Node
MB_cm_123,MB,Mushroom Body,Unscaled CM,123,0.014414708235838429,Node
FB_cm_42,FB,Fan-shaped Body,Unscaled CM,42,0.005029076261705391,Node
FB_cm_123,FB,Fan-shaped Body,Unscaled CM,123,0.005036683225473665,Node
EB_cm_42,EB,Ellipsoid Body,Unscaled CM,42,0.00620084110437869,Node
EB_cm_123,EB,Ellipsoid Body,Unscaled CM,123,0.006203835105019756,Node
MB_scaled_cm_42,MB,Mushroom Body,Scaled CM,42,0.011780103722376678,Node
MB_scaled_cm_123,MB,Mushroom Body,Scaled CM,123,0.012741738639640093,Node
FB_scaled_cm_42,FB,Fan-shaped Body,Scaled CM,42,0.006201509288129904,Node
FB_scaled_cm_123,FB,Fan-shaped Body,Scaled CM,123,0.006264939420255641,Node
EB_scaled_cm_42,EB,Ellipsoid Body,Scaled CM,42,0.005247783028568003,Node
EB_scaled_cm_123,EB,Ellipsoid Body,Scaled CM,123,0.005434921547950021,Node
